Key,Notes
ID,Participant identification code.
CPT,"Cold-pain tolerance: Time (in seconds) participants could retain their dominant hand in iced water (5oC). For safety, a maximum duration of 300s hand immersion was used."
PPT,"Pressure-pain tolerance: Pressure (in kPa) applied to the nail bed of the index finger using a pressure algometer with a 10mm^2 probe (Algometer, Somedic AB, Sweden). For safety, a maximum pressure of 1500kPa was used."
ancestry,"Self-identified ancestry (Afr: African ancestry, Eur: European ancestry)"
aex,"Self-identified biological sex (F: Female, M: Male)"
anxiety,Anxiety was assessed using 10-item anxiety subscale of the Hopkins Symptom Checklist-25 (HSCL-25). Participants rated the extent to which they had experienced symptoms within the last week on a 4-point Likert scale. A mean subscale scores > 1.75 indicates clinically relevant levels of anxiety.
depression,Depression was measured using the 15-item depression subscale of the Hopkins Symptom Checklist-25 (HSCL-25). Participants rated the extent to which they had experienced symptoms within the last week on a 4-point Likert scale. A mean subscale scores > 1.75 indicates clinically relevant levels of anxiety.
PCS,Pain Catastrophizing Scale was used to assess catastrophic thinking related to pain. The PCS was administered before exposure to the experimental pain stimuli to determine trait catastrophizing: Assesses the general tendency to catastrophize. Participants rated each of the 13 items on the questionnaire on a 5-point Likert scale. PCS scores > 30 indicate a clinically significant level of catastrophizing.
APBQ-F,"Appropriate Pain Behavior Questionnaire - Female (APBQ-F): Assesses pain beliefs regarding females. A 14-item questionnaire that measures beliefs about the appropriateness of expressing pain in the presence of others. Eight items on the ABPQ express a positive attitude to pain expression, and 6 express a negative attitude towards expressing pain. Participants rated the extent to which they agreed with each of the 14 statements by scoring them on a 7-point Likert scale. APBQ was scored by calculating the difference between the mean score of the eight positive statements and six negative statements. The final score has a bounded range -6 to +6, with negative values indicating a bias against females expressing pain behaviours."
APBQ-M,Appropriate Pain Behavior Questionnaire - Male (APBQ-M): Assesses pain beliefs regarding males. See ABPQ-F for details.
education,"Highest level of education completed by a parent or guardian (0: none, 1: primary school (grades 1 - 7), 2:  secondary school (grades 8 - 12), 3: tertiary education (post-secondary school)."
assets,"Average number of household assets owned by parents or guardians (five assets were assessed: refrigerator, television, car, microwave oven, and washing machine; 1: owned, 0: not owned)."
